Column1,comment,label
0,どこ か に いっぱい たまっ てる ん でしょ う ね 。 ,1
1,2 億 じゃ たり なく なる か な 。 ,1
2,正解 ,1
3,H & amp ; M や 海外 資本 の お 店 に 行く と スパンコール いっぱい の ワンピ 売っ て ます ね 。 ,1
5,そして 俺 にとって 都合 の 良い 社会 に なれ ！ という の が ぶっ ちゃ け 維新 の 原動力 で あり 、 Twitter に は そこら 中 に 落ち て いる もの 。 ,1
8,まずは 、 外国 人 労働 者 を 排除 する こと から 始め ましょ う ！ ,1
9,って 気 が つける か ？ ？ ？ ,1
10,表現 の 自由 が 全て の 表現 に 適用 さ れる の は その 通り で 、 アニメ 漫画 表現 も その 例外 で は ない と いう だけ の 話 な ん だ が ？ ,1
13,Maica _ n   ちゃん の   Hanako さん 、 届い て 。 ,1
16,なるほど ,1
17,日本 に は なら ない 気 が する それ が 全て 出来る まで 何 百 年 かかる か な … … ,1
21,責任 取る 必要 が ない 言葉   言質 を 取ら れ ない よう な 表現 を 使う こと に は 長け て いる よう です 。 ,1
22,納得 ,1
23,逆 に 友人 に 知ら れる くらい アカウントバズ ら せ たり ます か ！ ！ ！ って 今 思っ て ます 。 ,1
25,2001 年 の 出生 数 が 1 ,1
27,蓮 の 花 は 泥 の 中 で 美しく 咲き誇る 風俗 嬢 も 同じ で は ない です か ,1
28,外国 人 が 増えれ ば 、 犯罪 も ふえ ます 。 ,1
29,本当に 日本 の 事 を 思っ て 考え て 欲しい です 。 ,1
32,いやいや 、 一 握り の 反日 活動 家 でしょ う ね ！ 。 ,1
34,金 が ない 人 は レイプ する でしょ う ね ？ ,1
35,これ 以上 社会 経済 活動 を 止め られ たら 2 年 3 年 後 に は 国 中 の 中小 零細 企業 は 大変 な 局面 を 迎える 事 に なる ！ ,1
37,文句 も 言わ ない で 働い て いる 人 は 真面目 な ん じゃ なく て 牧場 の 羊 と 一緒 。 ,1
40,消費 税 廃止 し て も 良い よ ね ！ ,1
43,2 歳 の 娘 が いる ので ブクマ し て 、 妻 に も 共有 し まし た ！ ！ ,1
44,自国 を 守 歴史 る の は 自 国民 が 基本 です ,1
45,そういう 思想 教育 の 結果 じゃ ない か な ？ ,1
48,参考 に なり ます ＾ ＾ ,1
50,何 でも 海外 の 動き に 合わせる 必要 は ない 。 ,1
52,ハリウッド は グローバル だ けど 、 アメリカ じゃ 国内 向け コンテンツ は ガラパゴス なん じゃ ない か ？ と 思い 至り まし た 。 ,1
59,勇気 いり ます よ ね ！ ,1
60,勉強 は 本当に 大事 です よ ね ,1
62,新聞 を 止め て 窓 拭き とか 靴 の 乾燥 とか に 困る か な ？ と 思っ て た けど 時々 、 購読 し ませ ん か って サンプル を 勝手 に 突っ込ま れ て いる ので それ で 賄え た (￣▽￣;) ,1
64,「 本当は 『 俺 が 好き な もの を 批判 する な 』 しか 考え て ない のに 、 それ を 堂々 と 言わ ず に もっと 大きな 概念 を 守ろ う と し てる フリ を する 」 ,1
65,ぼく も その 一端 を 担っ て い た 。 ,1
66,ロンドン で 、 タリバン の 宣伝 聞く より 「 虎 ８ ニュース 」 の 方 に 切り替え たら ・ ・ 須賀川 さん ・ ・ ？ ,1
67,売上 が 6 万 じゃ なく 粗 利 が 6 万 増える の だ から 。 ,1
69,女 の 体 を 最も 性的 に 見 て いる の は 誰 か と いう 。 ,1
71,つまり 皆 でしょ う 。 ,1
72,約束 破る のに 、 少し の 躊躇 、 逡巡 も ない 国 と は 永遠 に 決別 で 良い 。 ,1
75,先輩 (？) ,1
80,そう な ん だ ！ ,1
85,関 関 同 立 レベル で ５ 割 〜 ６ 割 は 「 推薦 」 で 入学 し て いる 。 ,1
86,「 向き合う 」 の は 誰 でも でき ます ね 。 ,1
90,酷 すぎる ,1
91,フットワーク が 軽く て 新しい こと に対して オープン で 、 継続 力 が あっ て 、 やる べき こと を やり 抜く 忍耐 力 が あっ て 、 注意 散漫 に なら ず に 集中 できる 人 。 ,1
92,憲法 と は 関係 あり ませ ん 。 ,1
93,でも そんな の 、 実態 が 伴わ ない から 常に 空回り し てる ん だ よ ね 。 ,1
102,私 も 始まり だ と 思っ て ます 。 ,1
103,そう すれ ば 、 言い分 も 納得 でき ます が 、 出せ ます ？ ,1
109,即日 帰国 し 朝 の ニュース 番組 で 日本 の 対処 法 について ボロカス 言う 　 その 半月 後 ロック ダウン ,1
110,あれ 見 て 、 ほっ かむり に対する 差別 だ ！ とか 怒る よう な もの な ん だ よ 。 ,1
111,この 井田 さん って 。 ,1
114,贅沢 な 市役所 、 高齢 者 優遇 、 未来 が ない と 若者 流出 気づい た 頃 に は 高齢 者 と 中 韓国 人 だらけ かも な ,1
115,何 か 上手く いか ない 理由 を 見つけ たい の だ と 思い ます 。 ,1
118,その 通り よ ,1
119,沖縄 や 本土 に 米 軍 の 必要 性 を 感じ ない 、 問題 は 基地 に 関わり 生計 を 立て て いる 人達 の 『 稼ぎ 』 だ 。 ,1
120,なんで 1 番 の 重要 な ポイント で 逃げる か な 。 ,1
121,そう だ そう だ いいかげん に しろ ー ,1
123,早慶 を 下 に 見や がっ て 。 ,1
124,アメリカ は 明日 で PCR から 切り替わり ます 。 ,1
126,両親 に は 感謝 しか あり ませ ん ,1
130,知性 と 魅力 は 比例 する 。 ,1
133,& gt ; ,1
134,この 最後 の 一文 が まさに な ん です よ ね ,1
136,ワクチン 打て ない 人 も 居る ん だ わ 、 僕 も だ けど 。 ,1
138,↓ これ 、 どういう こと ？ ！ ,1
140,まさか と は 思い ます が 、 見 て 見 ぬ ふり とか に なっ たら 、 政府 から の 指示 が あっ た と 思わ ざる を え ない です ね 。 ,1
141,これ 自己 責任 です か ？ ,1
143,世界 経済 に 絡む 仕事 を し て いる 人 と 、 小さな 世界 で 党内 ＆ 票田 に 媚び ながら 総理 大臣 を やっ て いる 人 の 違い 。 ,1
144,地球 の ガン です ,1
145,ほん これ ,1
146,まあ 、 おおよそ 、 その お金 は 自民党 に 政治 献金 し て いる 企業 に 回る よう に なっ て ます から ね 。 ,1
147,なるほど な 。 ,1
149,普通 は 、 楽しん で い ます よい ます よ 、 胴元 の せい に する なら 、 人 から お金 を だまさ ない で ください ね 。 ,1
152,細胞 から 金 を 巻き上げ 、 豪邸 に 住む 志位 和夫 の 独裁 も 20 年 に なり まし た ? ,1
154,狩猟 民族 の 1 頭 売っ たら 幾ら 、 楽し て 沢山 売れ ば 儲かる と は 違う 。 ,1
156,そんな 風 に は なり たく 無い です ね 。 ,1
157,ただ 体調 に は お気 を つけ ください 。 ,1
158,何 度 も 繰り返す けど 、 女性 が 「 女 が 胸 を 晒し て 路上 を 歩い て 何 が 悪い 」 という の が フェミニズム 。 ,1
160,余裕 で 。 ,1
161,NO ワクチン で 入場 規制 に なる の は 大 規模 な イベント だけ 。 ,1
162,ものすごく おかしい ! ,1
