,comment_sentence,label
123,脳味噌スッカラカンすぎて蝶々もトンボも寄って来んだろうな。,0.0
124,またネトウヨが騒いでる笑笑,0.0
697,キミが更迭だな。,0.0
698,その固い頭を柔らかくした方が生産的,0.0
736,それも言い過ぎだろう。,0.0
764,えー無知は、どちら？,0.0
834,あたま大丈夫なのかしら、と。,0.0
908,ソースは？,0.0
934,バカなのか？,0.0
1010,ネトウヨ究めてんなー,0.0
1013,本当生産性のない奴らw,0.0
1031,見ている範囲が狭すぎるんじゃないですか？,0.0
1049,たったの一行で全部間違ってて草,0.0
1051,中身ー無しさん,0.0
1262,哀れだな。,0.0
1263,あんたが「存在するだけで嫌われ警戒される」,0.0
1264,未婚男性なのは、99.9%あんたに原因があると思うよ,0.0
1277,まぁ女叩きしてる時点でもてねえわな,0.0
1283,なんか、哀れだな。,0.0
1284,脳みそがゲシュタルト崩壊！,0.0
1289,嫌われてるのはあんたらインセルやキモモタだけ。,0.0
1732,ただネタとして見る分には面白いです,0.0
1747,ウクライナみたいに回避できない状況もあるのを想定してない時点でクソ,0.0
1895,もう少し頭を使って生きたらどう？,0.0
2017,渡辺弁護士の鼻がスケベっぽくてエロいから隠しとけとか言われたら反発するだろ？,0.0
2280,病気じゃない？,0.0
2281,イヤなら自分の国に帰ればいいのに。,0.0
2282,大丈夫？,0.0
2283,フェミニズムをおかしな宗教みたいにした連中のうちの一人が何言ってんだろう？,0.0
2285,君みたいなのしか居ないからだよ,0.0
2287,日本から出ていって下さい。,0.0
2289,モラルがねぇからたたかれてんだろ？,0.0
2290,フェミニストと大きく言うなら常識ない人=フェミニストってイメージがどんどん浸透するよ？,0.0
2292,こういうコントは面白いんだけどな時々ライン越えの発言するからな,0.0
2293,じゃあ日本からでてけば？,0.0
2294,このクズ,0.0
2295,そのまま体ごと張り裂けてしまえ,0.0
2297,そりゃ奇声上げながら斧振り回してるのが見えてたら通報されるわ常識考えろ常識を,0.0
2300,口論してたら突然吐く人も怖い。,0.0
2308,張り裂けとけよ。,0.0
2309,長えんだよ妄想が。,0.0
2338,『戦いになると抵抗出来ず『差別主義者！』と叫んで逃げるしか脳のない女性』を体現してるだけやないの。,0.0
2363,そういう場で自分の主張を押し通すことこそがあなたの最大の存在意義じゃないの？,0.0
2380,人として筋を通すことから始めた方がいいと思う。,0.0
2412,馬鹿ばっかです。,0.0
2615,だから説得力も皆無。,0.0
2618,具体的にどういった問題が起こるのか提示も出来ないなら、お前も幼稚であることに変わりがないのだから、自分で言っていることを体現しているとしか言えないと思うんだが…。,0.0
2629,このプロフィールから滲み出る頭の悪さよ,0.0
2638,ちょっと意味不明すぎて話が見えませんね。,0.0
2640,君はそろそろおたくから卒業したほうがいいんじゃないか？,0.0
2643,被害者面すんなよ,0.0
3455,ちょっと何言ってんのかわかんない。,0.0
4438,いちいちさんまのテレビ見るのに洗脳ガーとか言ってるやつ#マイキー大喜利,0.0
4440,　何を今更?,0.0
4714,本気で言ってるのでしょうか。,0.0
4722,あなたは犯罪者です！,0.0
4738,アホくさ,0.0
4740,何言っちゃってるんすか？,0.0
5170,ただの学歴コンプレックスっぽいw,0.0
5547,言ってることが尽く論点ズレてますよ。,0.0
5548,叩かれれば叩かれるほどに自分は正しいと思い込む人がかなり多いと聞くのですが、あなたもその一人ですか？,0.0
5549,誤魔化さないよう。,0.0
5774,そんなこともわからんのか。,0.0
6746,それをただ単に右左で語ってしまう議論が稚拙だなと思います。,0.0
7442,この人、綺麗事だけで生きているゾンビだ。,0.0
7453,その実例を挙げて説明されたい。,0.0
7454,意味不明、、、草,0.0
7581,こんなところでも歴史改竄運動…,0.0
7856,公文書改竄を推奨しろって事脳ミソ沸騰しとる,0.0
9821,本を読んだから賢い！なんて考え方が子供過ぎる（笑）,0.0
9910,つーかお前の方が遥かに胡散臭いわ(嘲),0.0
9924,ピンボケな見解だな。,0.0
10405,0点,0.0
11323,あんたらがやってることは営業妨害、経済活動の邪魔。,0.0
11334,お前らヒステリック・フェミによる極めて醜悪かつ傲慢な差別行為を止めさせるのが望み。,0.0
11335,お前らの主張なんてどこまでいっても「私」を前提とした「差別」でしかない。,0.0
11336,お前らがやってるのはスターリンや毛沢東と一緒！,0.0
11337,極左の破壊活動でしかない！,0.0
11338,#ヒステリック・フェミ,0.0
11346,文章読めないん？,0.0
11347,嘘つくのはやめましょう。,0.0
11348,煽りとかでなく、一度病院で統合失調調べてもらったほうがいいと思います。,0.0
11349,寝言は寝て言え。,0.0
11352,また嘘つくんですか？,0.0
11353,歴史修正乙,0.0
11364,今後もこのような卑劣な歴史修正には断固として立ち向かう。,0.0
11365,何処の世界線の方ですか？,0.0
11366,ご覧の皆さんに注釈を残すと、この発言内容はデマです。,0.0
11367,恥を知れと言いたい。,0.0
11382,歴史修正主義者か,0.0
11394,みじめな人生だからと言って、加害者のくせに被害者気取りで世の中に甘えるのもいい加減にしましょう。,0.0
11395,社会に文句をいうだけの存在でなく、きちんと社会に貢献するまともな人間になりましょうね。,0.0
11396,歴史修正乙,0.0
11581,子孫達のためにもちゃんと頭で考えてくれ。,0.0
11583,ろくに世間も知らないくせしてよくそこまでの自己満足なことが書けるね,0.0
11596,ひとのことを怠け者だと罵る前に、自分自身の怠惰を省みろ。,0.0
11597,現実を見てどーぞ,0.0
11745,詐欺をして楽しいですか？,0.0
12882,あなた方の大好きな差別、反日活動の邪魔になるとはいえ、言葉は選ぶことです,0.0
12883,自己紹介,0.0
12884,アンタの方が胡散臭い,0.0
12885,君の発言全て胡散臭いけどな。,0.0
12933,キッショ,0.0
12934,単に自分が嫌いな反発を並べただけですよね。,0.0
12957,コイツが一番めんどくさい定期,0.0
12958,おお…まるでレイシストだな。,0.0
13005,妄想か現実みろよ,0.0
13006,まけいぬよ哀れなオッサン,0.0
13148,夢はオフトゥンの中でどうぞ,0.0
14736,弱々しいから虚勢を張っているのか。,0.0
14833,何もできずに日本を沈没直前まで追い込んだ左翼民主党政権を信奉するような連中が何を言っても説得力は皆無。,0.0
15119,なんかさ、君は金銭欲や自己顕示欲が強すぎて周りの人間やサラブレッドに対しての愛が感じられないんだよね。,0.0
15121,全く触れずにこんな糞みたいな煽りツイートか,0.0
15122,捏造動画作って収益あげる奴が言うのはおかしいのでは(笑),0.0
15179,あなたの意志が弱いだけです。,0.0
15180,ストマックさんは、下手すぎます,0.0
15181,何回同じような事言ってるんですか,0.0
15227,何他人事みたいに言ってるんや！,0.0
15228,何もしなかったあなたのせいでしょうが！,0.0
16000,それと同じなんに自分らの趣味の話になると認識バグるのな。,0.0
16001,クソオス,0.0
16126,正直一つ前のツイートの一行目からギョッとしたけど、まぁ男なんてこんなもんだよな。,0.0
16128,あなたみたいな男ばっかりだから娘さんはこれから辛い思いをするでしょうね。,0.0
16141,ほーら始まった、何にもわかってないくせにわかったフリするようなやつ。,0.0
16142,あんたみたいなのがいるから「娘」という属性は一生辛いまんまなんだよ。,0.0
16274,非常に多くの日本人は望んでおりません間違い忖度はしないで下さい。,0.0
16276,日本語わかりますか？,0.0
16278,勝手に日本人て言葉を出さないで下さい。,0.0
16279,エビデンス出して下さい。,0.0
16281,生まれてこの方そんな話は聞いたことはないが,0.0
16301,具体的根拠を示せよ！,0.0
16303,多くの日本人が望んでいるなら実現しているはずなので、ソースも無しにウソは言わないでください。,0.0
16305,アンケートとったの？,0.0
16306,嘘ばっかり,0.0
16328,は？,0.0
16329,ちゃんと裏付けとりましょね,0.0
16330,ウソつくなや,0.0
16331,寝言は寝てry,0.0
16443,中身が全くないな笑笑笑笑,0.0
17031,生活環境まで政府にケツ持たせるとか言ってて恥ずかしく無いのか？,0.0
17034,まだアホなこと言ってる,0.0
17218,印象かよ=^.^=,0.0
17231,偏見。,0.0
17232,そのように印象操作して一部の金目教の人間が得する社会は間違っています。,0.0
17403,あ、松丸ディスりか？,0.0
17681,ゴ〇,0.0
17684,それ自分にも刺さらない？,0.0
17685,大丈夫？,0.0
17687,自己紹介か？,0.0
17697,だとしたら貴方には人として大事なものが欠けてますね。,0.0
18142,仮に被害者だとしてもジャーナリストがそんな不祥事見逃してたって無能にも程がある,0.0
18171,倒閣に加担してたんだろ。,0.0
18330,読めても理解できない。,0.0
18463,人は信じたい事しか信じない、の典型ですね…。,0.0
18464,脳が凝り固まってる。,0.0
18612,日本語おかしくないかい？,0.0
18623,オマケにデマ流すな？,0.0
18625,それとも、もしかして、貴方、日本語が母国語ではない外国の方ですか？,0.0
18641,社会を掻き回すのやめてほしいわ,0.0
18967,かわいそうな人達です。,0.0
18983,ん？？？？？,0.0
19163,むろん「何故GDPはこの30年日本だけが伸びないのか」みたいな話すら出来ない。,0.0
19944,キチンと日本語使えないお前のようなのがネトウヨ脳になってるだけ。,0.0
19945,ガマンしとけよ差別主義者さん,0.0
19973,屁理屈言うなネトウヨ。,0.0
19974,そういう所がダメなんだぞネトウヨ。,0.0
19976,ネトウヨ。,0.0
19989,笑いすぎてお腹が痛い,0.0
20786,議員なら真実の情報を広めたらどないや。,0.0
20789,違和感ある発言。,0.0
20801,議員が「バイオテロ」を公に発言。,0.0
20802,言葉の重さを知らないね。,0.0
20826,これがオウムのサリン事件と同一に見えるのならば医者に行くべきだ,0.0
20827,このツイートは絶望感に間違い。,0.0
20838,恐怖心煽り社会を混乱させてる。,0.0
20839,デマ相当する。,0.0
21471,最も信用できないのが岩田である。,0.0
21472,まだ牢獄にいないのが不思議なくらいだ。,0.0
21473,この人、注目されたいかまってちゃんなのに、文化的教養が低すぎて哀れ。,0.0
21474,この人以前も似たようなこといっていて、尚且つ指摘されていてそれでまた繰り返しているのだからただただ不誠実としかいえない。,0.0
21977,見たくねえならTwitterやめろよ！,0.0
21978,頭のネジ飛んだのか？,0.0
22307,他人の表現の自由への侵略や,0.0
22308,理屈が分からん,0.0
22707,お里が知れますね。,0.0
22710,コイツの方が、チンカスだろ。,0.0
23475,政治ではどんな主張も構わないと思うが、正しくない事実に基づいてはいけない。,0.0
23556,投資会のシバターみたいで嫌いです。,0.0
23557,個人的にくそなんちゃんらとかって言う言い回しが大嫌いです。,0.0
23617,言うだけだったら誰でも出来んだぜ行動に移しな,0.0
23810,貴方個人の感想、ワガママでディストピア作られちゃかなわんよ。,0.0
23811,オタク嫌いって偏見とかもう見飽きたわ。,0.0
23814,よく考えてよ。,0.0
23853,決め付けもここまで来ると清々しいもんだな。,0.0
23854,普段、根拠やデータを気にしてないからこう受け止めちゃうんでしょうね,0.0
23857,有効な反論が出来ないから性犯罪予備軍などとレッテル貼って話をずらそうとしてるんですね,0.0
23873,古のオタク。,0.0
23874,データを出して反論出来るのかな？,0.0
23875,どのへんが？,0.0
23878,「ようなもの」よって事実ではない単なる感想であるQ.E.D,0.0
25587,そんな中で、方法論が優れているから自民党が優れてるとか、何の冗談だよ。,0.0
25590,何を言っているのか。,0.0
25617,多様性以前に、極めて不誠実です。,0.0
25641,まぁ、貴方は次もないと思いますが。,0.0
25650,そんな中で、方法論が優れているから自民党が優れてるとか、何の冗談だよ。,0.0
25653,何を言ってるのか分からない。,0.0
25654,こんな人間が出政治家を志してる恐怖よ。,0.0
26227,メディアが現実に与える影響を一緒くたにするなバカ,0.0
26245,だから？,0.0
26246,論点がおかしいですよ。,0.0
26598,他人と比べても何にもならないやっぱジジイのクセにガキなんだなw,0.0
29231,乱暴なことばね。。。,0.0
29232,タグの口調が気に入らないね,0.0
29661,日本語の勉強からし直しておいで,0.0
29941,自分が理解出来ないから認めないなら「多様性」を理解してない。,0.0
30056,イラチのおばちゃん,0.0
30085,この様な、印象操作は如何なものかと思います,0.0
31083,何ら根拠ないですね,0.0
31108,差別者 であることを自覚してください。,0.0
31121,やっぱりなんかずれてんよね。,0.0
31135,寝言？,0.0
31555,そのソースはどこから？,0.0
31941,理屈を言うが理屈が解らない,0.0
32100,どんどん品性落ちますよ,0.0
32849,香西さんのツイートは「不確かな内容」いっぱいですよw,0.0
32866,というかほぼ間違ってる香西君が触れていい内容じゃないぞ。,0.0
32869,かつ介、貴殿のツイートも不確かな内容のオンパレードだろ,0.0
33410,ばかばっかり,0.0
33651,2行目ですでに意味がわからない。,0.0
33660,矛盾が多すぎで拾いきれないですね！！,0.0
33661,こんなことを真顔で言われた日には、笑い堪えるのに必死になってしまうわ。,0.0
33672,投票以外での政治参加を認めない類のお猿さん,0.0
33680,ミソジニー丸出しツイートをする未婚男性が女性に好かれるとでも思っているのかな？,0.0
33681,論理的に破綻！,0.0
33683,なぜ彼が女性にモテなくて辛い人生を送っているのかというと、女性が悪いのではなく彼が彼だからに他ならない,0.0
33704,一人でも反対したらアウトだと思ってんですかバカなんですかバカなんですね…。,0.0
33705,右翼は国粋主義であって、尊皇ではあるけど、天皇主義では無い勉強して下さい,0.0
33709,核保有国に侵略戦争を仕掛けると思っている時点で論外ですね。,0.0
33723,(´・ω・`)?,0.0
33727,あなたはそもそも胡散臭いのなんとかした方がいいっすよ、と思ってます。,0.0
33729,海外に永住して、そこで永眠して下さい。,0.0
33731,不審すぎるし薬やってんのかって思うよね。,0.0
33736,共感してくれる人としか話したく無いと言う事なんだろうけど、何かを発信したい人なの？,0.0
33738,私にはサッパリわかりません。,0.0
33740,発言が無責任過ぎます。,0.0
33747,こうした責任感の欠片も存在しない戯れ言吐く輩が相手に責任感を求めるなど笑止千万。,0.0
33748,駄文を長々と列ねても結局「ボクちゃんはアニメや漫画が嫌いなんでちゅ～」の一言で済むのだから中身など全く無し。,0.0
33749,お　ま　え　が　い　う　な,0.0
33750,バカじゃねぇの。,0.0
33754,何か問題があるんですか？,0.0
33768,そして皆んなの共感を得て更なる批判ルームを作っているわけですね。,0.0
33774,大きな勘違い。,0.0
33781,その脳みそが既に洗脳されている（笑）,0.0
33782,たかがテレビ見るのにこんなに脳みそこじらせてかあいそう、かあいそう。,0.0
33787,うーん一見いいこと言ってるようで政治への要望がコロナ脳。,0.0
33788,そんなことは中２でも言える。,0.0
33799,お前が、賢さと無縁で学歴コンプだというのは、よくわかった。,0.0
33809,「歴史修正主義者は嫌い」って書いてあるから自分の事嫌いなんだね,0.0
33810,ねえ、もう少し勉強してから、考えてからツイートしない？,0.0
33811,あるものをあるってそれはあなたの勝手な思い込みですよね？,0.0
33812,こんなバ看護師が居るから、いつまで経っても看護師の地位が上がらねえんだよ(=_=),0.0
33815,早く垢消せ,0.0
33844,そもそも右翼、左翼だけで区別する物の言い方が好きではないですね。,0.0
33848,だから何？,0.0
33851,改憲誘導ですか？,0.0
33853,田母神氏の、この ↓ ツイートの意味がわからない。,0.0
33854,また、”学校で憲法に沿って反日教育が行われている。”とするが、何を指して反日教育と言っているのかも不明だ。,0.0
33855,こういうこと言う人、戦後の経済を支えてきた人の気持ちなんて理解しようともしてないんだろうな。,0.0
33856,日本を悪い国だと思ってる人の筆頭はあなたでしょう。,0.0
33857,いつもいつも日本のやることに対して悪口、文句ばかりを言っている。,0.0
33861,人並み以上に納税してるのか？,0.0
33870,ある界隈の人たちって、「本当に」だの「真の」だのが大好きなのですね…,0.0
33871,？,0.0
33872,何を仰りたいのか、よくわかりません。,0.0
33874,極論,0.0
33875,一寸、論を飛躍させ過ぎて極論に持ってってる印象が。,0.0
33901,ほんとやかましい。,0.0
33915,あんたのフォローで中国の悪口を言ってるヤツがいる！,0.0
33922,言いたいことはわかるけど、そこは自明で済ませずにデータを出すべきでは。,0.0
33924,誰のことを言ってるのだろう？,0.0
33925,ムカつくな。,0.0
33926,東大京大に入った人は普通に本読んでるし、そもそもこの人のIDが頭悪すぎる。,0.0
33933,なんで海乱鬼って年中イキり散らしているわりには、物の考え方がこんなに弱々しいのだろうな。,0.0
33938,単に負け犬の遠吠えやん。,0.0
33948,こういうアホな事を まことしやかによく言えるもんだね(呆れ)アンタのツイート読んでたら、せっかく(時々)良いことを言っていても、いつも こういうもので引いて(退いて)しまいますよ?,0.0
33953,おんなじような事を年中呟いてるけど、要はボキャ貧なんだなw,0.0
33954,言い尽くされたネタばかり,0.0
33955,それは価値観の押し付けだと思いませんか？,0.0
33958,ギャンブルの為の口座やアプリを勧める人が言える発言ではありませんよ,0.0
33959,当たらないから文句言ってるだけですよね？,0.0
33960,朝から何言ってんの？,0.0
33961,結論、人のせいにすな?,0.0
33963,大丈夫？,0.0
33964,そんな事より約束守ろうね出来ない守れない約束をするから嘘つき言われるんだよ,0.0
33965,まさにお前じゃん　乞食ジジイ,0.0
33966,お前は無理だからさぁ、人に迷惑かける動画だけはやめたら？,0.0
33967,借金いくらあるの？ねぇ,0.0
33981,「女性であるが故に不利益を受けたり生きづらさを感じさせられたりすることのない社会を実現しなければ」という部分は大賛成だが、このツイートはちょっと...。,0.0
33986,雑な誘導は逆効果です。,0.0
33988,すぐ嘘を、しかもすぐにバレる嘘を付くからお前ら支持されねえのよ,0.0
33992,恥かくだけだからやめとけ,0.0
33999,どう考えても今の発言は差別です。,0.0
34000,事勿れ外交を繰り返し国益を損ない続けた人物がどの口で？,0.0
34003,根拠ない邪推でワロタｗ,0.0
34004,僕、こういう頭の悪い主張は嫌いだけど、世の中がこういう意見を言えない環境にはなって欲しくないと言い続けるよ。,0.0
34005,まーた架空のオタク像を捏造してそれを叩くなぞの行動か(*´∀｀*)お前オタクへの依存症よな(笑),0.0
34006,お前らが規制しようと躍起になるからそうなるんだよ,0.0
34007,むし守備側はてめえのテリトリーで手一杯なんだ、お前らが余計な飛び火するやり方ばかりしてるから仕方なく病巣ごと叩き潰す戦略に移ってるだけでな,0.0
34008,貴女の屁理屈だと､お父様は女性差別をしたんだよ｡,0.0
34009,貴女のお母様に対してそして貴女のお父様祖父母お母様の祖父母も女性差別した事になりますが？,0.0
34015,なるほど、そう信じたいんですね,0.0
34016,ウソつくな。,0.0
34026,またデマ流してるーくっだらない動画ばっか見てないでたまには正しい情報も見ましょうね,0.0
34027,こういうデマを流す人も乗っかる人も通報ね,0.0
34032,現状を変えたいとは思わない人達に向かって、現状を変えたい側が「内容を知れ、理解しろ、自分で調べろ」って随分高飛車。,0.0
34035,公共の場で他人を非難しておいて、自分達の発言にさえ向き合えない、責任さえ反故にするような左翼勢力とはそんな馬鹿げた連中の集まりなのか話にならん,0.0
34049,心だけではなく脳ミソもないか足りなくなってしまってるようですね。,0.0
34051,まるっきり反対派の主張内容を脳内で生成してるっぽくて、このあたりは表自だとかと共通する妄想系が多いね。,0.0
34054,お前見たいな事を、言う奴が居るから、更に感染者が増えんだろ(＃｀皿´),0.0
34055,物事を見極められないコロナ過剰議員は今すぐ辞めてくれ,0.0
34056,残念だけどその記事は死ぬほどいい加減で嘘っぱち何が言いたいのかさっぱり分からない,0.0
34058,こんないい加減な記事で惑わされる時点でありえないと思います。,0.0
34061,仮定が良くわからないな…,0.0
34073,ネトウヨが差別用語と、訳の分からない主張をするネトウヨ。,0.0
34074,ようネトウヨ,0.0
34077,俺たち日本人の恥であるこのようなネトウヨがいるから、ヘイトスピーチ厳罰化が必要なんだよな。,0.0
34092,そのような判断の責任を相手に転嫁していますが、あなたは戦争をした上での責任を取ることは出来ませんよね？,0.0
34094,こんな会話ありえないし、しても意味がない。,0.0
34099,間違った情報を垂れ流すなよ。,0.0
34100,バイオテロとは言い過ぎです,0.0
34101,お前は馬鹿か？,0.0
34103,これほど頭固いとは。,0.0
34105,これを取り締まる権力を得たら、あなたみたいな人は香港弾圧みたいなこと平気でするんですか？,0.0
34130,全体主義思考の異邦人に言われたくない。,0.0
34131,レベル低すぎで語る気もしない,0.0
34136,品位のカケラも無いお言葉ですね......軽蔑します,0.0
34137,汚い単語の使用は、内容が正しい批判であったとしても、イカガワシク感じさせますよ。,0.0
34138,小学生かな？,0.0
34139,#きっこ左翼の言葉の汚さ。,0.0
34140,シツコサでは「きっこ」の方が200％しつこいのに本人だけが気が付かない認知症加減が草,0.0
34144,格差とか言い出して何が言いたいんだろ…,0.0
34145,最近は物言いが酷すぎるし単純に煽って自分のチャンネルに誘導しようとしてるんですね。,0.0
34148,真っ当な批判を犯罪、差別にすり替えるってすごいね。,0.0
34149,だから根拠なく根拠なくって、根拠なくという根拠を述べてみてくれ。,0.0
34150,やんわり現代のオタクをdisる,0.0
34151,ハッシュタグなんて哲ちゃんにはまだ無理だからおとなしくしてなさい,0.0
34154,何でそうなる？,0.0
34157,いや、その理屈はおかしい。,0.0
34159,あなたのアジテーター活動のコストパフォーマンスはかなり低そう。,0.0
34161,＞変わらんくらい根拠ねぇなんかそういうデータあるんですか？,0.0
34178,議論をする上で大事な事はデマや事実の基づかない物、エビデンスが十分でない物、などを省きながら質の高い、また、広い視野での議論が尽くされるとより良い方向に向かうと思います。,0.0
34181,皇太子時代の上皇陛下をディスっているのでしょうか？,0.0
34189,そんなわけ無いだろ笑,0.0
34196,だから？,0.0
34197,あなたは負け組です,0.0
34201,どんどんバカになってくな…,0.0
34202,人生を勝ち負けと言ってる時点で薄っぺらなんだよ,0.0
34204,大丈夫かこいつ頭がお悪くいらっしゃる、、,0.0
34222,黙れ小僧笑笑,0.0
34232,くだらんツイデモより京都の財政状況気にした方がいいんじゃない？,0.0
34234,品の無いタグやのぅ,0.0
34237,ん～取り敢えず日本語大丈夫？,0.0
34241,いちゃもんつけるネタがついに大相撲にまで及んできましたね、そんなにあなたの周りのことがあなたの思い通りになる事はありえないんですよ。,0.0
34243,多くの外国人力士がいて横綱にもなっている自分の思い込みだけで印象操作、あなた自身が一番品格がないですね,0.0
34246,嫌なら外国行きな。,0.0
34247,相撲に文句垂れる血ナマコ先生でした,0.0
34255,アホくさ。,0.0
34256,寝言は寝てから言ってください(´･Д･)」,0.0
34257,税金泥棒が寝言を言うな!,0.0
34259,誰も共感しないのがなぜか？を考えたことがありますか？,0.0
34260,酔っ払ってるのか？,0.0
34261,まーたデタラメな事を…。,0.0
34262,数字は嘘をつかないが嘘つきは数字を使う,0.0
34263,世迷い言,0.0
34264,妄想に浸っとれやバカタレw  お前のツイートには度々書かせてもらってるが赤旗(便所紙)配達員や共産党病院の職員の給与上げたれや。,0.0
34265,先ずはそれをやってから文句言えよなw,0.0
34266,真剣にとりくむ人はこんな方向性不明の書き方はしない。,0.0
34273,あなたはヒトラーか？？？,0.0
34274,やってること全てヒトラーにそっくりwwww,0.0
34275,なにか、もんだいでも？,0.0
34276,?(｡･?･)????？,0.0
34286,馬鹿はどっちなのか…,0.0
34287,応援してたのに残念逆にこういうツイートに騙されないようにしよう,0.0
34288,決めつけは良くない。,0.0
34289,左翼と同じ煽り。,0.0
34290,こんなツイートしてどうなるか理解できないなんて、馬鹿ですね。,0.0
34291,違う意見を受けられないのは唯我独尊で最も危険なことです,0.0
34292,自分の考えと違う人を罵倒するのは自信がない裏付けですよ。,0.0
34293,馬鹿なの？,0.0
34296,？,0.0
34311,このツイートは事実に基づくものなの？,0.0
34312,事実と異なっているというソースは？,0.0
34313,いっつも内容が不確か。。。,0.0
34327,あんたら「獣臭い博多ラーメンはすべて禁止して、マイルドな味だけにしろ」と言うから嫌われとるんやで？,0.0
34328,いや、なんかすんげぇ色々と言葉飾ってるけどさ。,0.0
34329,獣臭いラーメンの様な汚物は消毒だー、ヒャッホ?！」ってカタルシスに溺れて悪役やってんのが自分達だと理解できて無いんじゃ無い？,0.0
34331,15年くらい認識が遅れてる。,0.0
34332,多方面に喧嘩を売る天才を見つけた。,0.0
34333,アンタ、もしかして別の世界線から来たのかい？ｗ,0.0
34334,またデマ?,0.0
34335,あなた方モンスタークレーマーがいい加減TPOをわきまえればいい話ですよ。,0.0
34336,まーた歴史修正かどんだけ嘘つくねん,0.0
34340,「いつもの様に難癖付けたら強烈に反撃されて旗色悪くなったし、活動アピールするという最低限の成果は得たから撤退しました」ってのを活動家用語に直すとそういう発言になるんですね、よくわかります。,0.0
34342,しっかり搾取されてて草養分乙,0.0
34346,文明人としてのスタートラインに立ってから発言してほしいものですが、このように非人道的になってしまうのも完全なる自己責任とは言えません。,0.0
34352,お前みたいなおぱよさんでもまともな職にありつけてる事に感謝すべきでは？,0.0
34353,何を言ってんだ？,0.0
34356,分断はこういうツイートだぜ？,0.0
34359,半年前に言えよ･･･アホなの？(笑),0.0
34361,ぶっちゃけ一方の考え方しかできないあんたが弁護士名乗ってる方が胡散臭いわ,0.0
34362,あなたのようなレイシストにはうさんくさいのですか？,0.0
34363,あなたが一番胡散臭いです,0.0
34364,という胡散臭い主張,0.0
34366,さすがにご冗談ですよね？,0.0
34378,あっー高専差別…？,0.0
34397,さすがネトウヨと言いたくなるくらいおバカさんだな。,0.0
34413,経験も知識も経済力もない似非フェミが自分のお気持ちを会社にクレームとして喚き散らしている。,0.0
34414,本気で言ってるん？,0.0
34417,いいえ、このような著作や講演会をされている時点で全く説得力ないです。,0.0
34430,その条件も言葉の定義も曖昧でコロコロ変わるから貴方たちは嫌われるんですよ。,0.0
34431,あなたが偏見にまみれているのはよくわかる。,0.0
34432,いやいや、いつも主語がデカいのはあんたらクソフェミだから,0.0
0,てか子供が可哀想です。,1.0
1,だって「ダメなことはダメって言う」,1.0
2,「男は」ってあんた、イケメンを男に入れないのはおかしいだろ。,1.0
3,何でいちいち悪い評価の人に合わせなきゃいけないんだよ(笑),1.0
4,勇気いりますよね！,1.0
5,というかこの議論に学歴うんぬん関係ありますか？,1.0
6,挙句の果てに、今朝ニュース番組で「mRNAは危険というデマがSNSで拡散されている」との報道が。,1.0
7,こんな条例に自分の家のことに口出しされたくないわ！,1.0
8,だから話し合いも理解しあおうとするのも、無駄だなって。,1.0
9,むしろ、日本共産党でさえリベラルに傾いていると思うけどね。,1.0
10,その人が労働者として可笑しいだけで。,1.0
11,すべてが捏造かどうか分かりません。,1.0
12,まぁ、それも嫌だけど。,1.0
13,太陽光発電、風力発電だけでは無理だな。,1.0
